"id","csrd_id","csrd_name","csrd_appendix_b","csrd_appendix_c_less_then_750","csrd_appendix_c_more_then_750","csrd_sheet_name","csrd_conditional_or_alternative_dp","csrd_data_type","csrd_dr","csrd_esrs","csrd_may_v","csrd_paragraph","csrd_related_ar"
"__export__.document_csrd_257_19e96d69","e1-4_10","percent of location-based scope 2 greenhouse gas emissions reduction (as of emissions of base year)","sfdr+pillar 3+ benchmark","","","ESRS E1","conditional","table/percent","e1-4","e1","","34 a + 34 b",""
"__export__.document_csrd_258_6403d1c7","e1-4_11","intensity value of location-based scope 2 greenhouse gas emissions reduction","sfdr+pillar 3+ benchmark","","","ESRS E1","conditional","table/decimal","e1-4","e1","","34 a + 34 b",""
"__export__.document_csrd_259_a84573f7","e1-4_12","absolute value of market-based scope 2 greenhouse gas emissions reduction","sfdr+pillar 3+ benchmark","","","ESRS E1","conditional","table/ghgemissions","e1-4","e1","","34 a + 34 b",""
"__export__.document_csrd_260_88ba8963","e1-4_13","percent of market-based scope 2 greenhouse gas emissions reduction (as of emissions of base year)","sfdr+pillar 3+ benchmark","","","ESRS E1","conditional","table/percent","e1-4","e1","","34 a + 34 b",""
"__export__.document_csrd_261_65978989","e1-4_14","intensity value of market-based scope 2 greenhouse gas emissions reduction","sfdr+pillar 3+ benchmark","","","ESRS E1","conditional","table/decimal","e1-4","e1","","34 a + 34 b",""
"__export__.document_csrd_262_15a67a83","e1-4_15","absolute value of scope 3 greenhouse gas emissions reduction","sfdr+pillar 3+ benchmark","","","ESRS E1","conditional","table/ghgemissions","e1-4","e1","","34 a + 34 b",""
"__export__.document_csrd_263_aa7846ea","e1-4_16","percent of scope 3 greenhouse gas emissions reduction (as of emissions of base year)","sfdr+pillar 3+ benchmark","","","ESRS E1","conditional","table/percent","e1-4","e1","","34 a + 34 b",""
"__export__.document_csrd_264_0cb98b2b","e1-4_17","intensity value of scope 3 greenhouse gas emissions reduction","sfdr+pillar 3+ benchmark","","","ESRS E1","conditional","table/decimal","e1-4","e1","","34 a + 34 b",""
"__export__.document_csrd_265_6d6810cf","e1-4_18","explanation of how consistency of ghg emission reduction targets with ghg inventory boundaries has been ensured","","","","ESRS E1","","narrative","e1-4","e1","","34 b",""
"__export__.document_csrd_266_89342e7c","e1-4_19","disclosure of past progress made in meeting target before current base year","","","","ESRS E1","","narrative","e1-4","e1","v","34 c",""
"__export__.document_csrd_267_e75c5566","e1-4_20","description of how it has been ensured that baseline value is representative in terms of activities covered and influences from external factors","","","","ESRS E1","","narrative","e1-4","e1","","ar 25 a",""
"__export__.document_csrd_268_3f9996b1","e1-4_21","description of how new baseline value affects new target, its achievement and presentation of progress over time","","","","ESRS E1","","narrative","e1-4","e1","","ar 25 b",""
"__export__.document_csrd_269_5342e16e","e1-4_22","ghg emission reduction target is science based and compatible with limiting global warming to one and half degrees celsius","","","","ESRS E1","","semi-narrative","e1-4","e1","","34 e, 16 a","ar 26"
"__export__.document_csrd_270_280b1521","e1-4_23","description of expected decarbonisation levers and their overall quantitative contributions to achieve ghg emission reduction target","","","","ESRS E1","","narrative","e1-4","e1","","34 f, 16 b","ar 30"
"__export__.document_csrd_271_abd3ebdb","e1-4_24","diverse range of climate scenarios have been considered to detect relevant environmental, societal, technology, market and policy-related developments and determine decarbonisation levers","","","","ESRS E1","","narrative","e1-4","e1","","ar 30 c",""
"__export__.document_csrd_272_1064f5bf","e1.mdr-t_14-19","disclosure to be reported if the undertaking has not set any measurable outcome-oriented targets","","","","ESRS E1","","","e1-4","esrs 2","","81",""
"__export__.document_csrd_273_b383da90","e1-5_01","total energy consumption related to own operations","sfdr","","","ESRS E1","","energy","e1-5","e1","","37","ar 35"
"__export__.document_csrd_274_56da4a95","e1-5_02","total energy consumption from fossil sources","sfdr","","","ESRS E1","","energy","e1-5","e1","","37 a","ar 33, ar 32"
"__export__.document_csrd_275_80d91b10","e1-5_03","total energy consumption from nuclear sources","sfdr","","","ESRS E1","","energy","e1-5","e1","","37 b",""
"__export__.document_csrd_276_a6d3c260","e1-5_04","percent of energy consumption from nuclear sources in total energy consumption","","","","ESRS E1","","percent","e1-5","e1","","ar 34",""
"__export__.document_csrd_277_25d67565","e1-5_05","total energy consumption from renewable sources","sfdr","","","ESRS E1","","energy","e1-5","e1","","37 c",""
"__export__.document_csrd_278_dbfa3517","e1-5_06","fuel consumption from renewable sources","sfdr","","","ESRS E1","","energy","e1-5","e1","","37 c i",""
"__export__.document_csrd_279_d637cf95","e1-5_07","consumption of purchased or acquired electricity, heat, steam, and cooling from renewable sources","sfdr","","","ESRS E1","","energy","e1-5","e1","","37 c ii",""
"__export__.document_csrd_280_ee271612","e1-5_08","consumption of self-generated non-fuel renewable energy","sfdr","","","ESRS E1","","energy","e1-5","e1","","37 c iii",""
"__export__.document_csrd_281_35656a2b","e1-5_09","percent of renewable sources in total energy consumption","","","","ESRS E1","","percent","e1-5","e1","","ar 34",""
"__export__.document_csrd_282_c9b271ec","e1-5_10","fuel consumption from coal and coal products","sfdr","","","ESRS E1","conditional","energy","e1-5","e1","","38 a","ar 33"
"__export__.document_csrd_283_e2a8a335","e1-5_11","fuel consumption from crude oil and petroleum products","sfdr","","","ESRS E1","conditional","energy","e1-5","e1","","38 b","ar 33"
"__export__.document_csrd_284_16d0c5ff","e1-5_12","fuel consumption from natural gas","sfdr","","","ESRS E1","conditional","energy","e1-5","e1","","38 c","ar 33"
"__export__.document_csrd_285_eeb8437c","e1-5_13","fuel consumption from other fossil sources","sfdr","","","ESRS E1","conditional","energy","e1-5","e1","","38 d","ar 33"
"__export__.document_csrd_286_59108c04","e1-5_14","consumption of purchased or acquired electricity, heat, steam, or cooling from fossil sources","sfdr","","","ESRS E1","conditional","energy","e1-5","e1","","38 e","ar 33"
"__export__.document_csrd_287_f1fe41be","e1-5_15","percent of fossil sources in total energy consumption","","","","ESRS E1","conditional","percent","e1-5","e1","","ar 34",""
"__export__.document_csrd_288_c8b87ac4","e1-5_16","non-renewable energy production","","","","ESRS E1","conditional","energy","e1-5","e1","","39",""
"__export__.document_csrd_289_e8e096dd","e1-5_17","renewable energy production","","","","ESRS E1","conditional","energy","e1-5","e1","","39",""
"__export__.document_csrd_290_9c0d98e1","e1-5_18","energy intensity from activities in high climate impact sectors (total energy consumption per net revenue)","sfdr","","","ESRS E1","conditional","percent","e1-5","e1","","40","ar 36"
"__export__.document_csrd_291_d0176a96","e1-5_19","total energy consumption from activities in high climate impact sectors","sfdr","","","ESRS E1","conditional","intensity","e1-5","e1","","41",""
"__export__.document_csrd_292_e375ca83","e1-5_20","high climate impact sectors used to determine energy intensity","sfdr","","","ESRS E1","conditional","semi-narrative","e1-5","e1","","42",""
"__export__.document_csrd_293_fb06156b","e1-5_21","disclosure of reconciliation to relevant line item or notes in financial statements of net revenue from activities in high climate impact sectors","sfdr","","","ESRS E1","conditional","narrative","e1-5","e1","","43","ar 38"
"__export__.document_csrd_294_0ac04e1a","e1-5_22","net revenue from activities in high climate impact sectors","","","","ESRS E1","conditional","monetary","e1-5","e1","v","ar 38 b",""
"__export__.document_csrd_295_58c27568","e1-5_23","net revenue from activities other than in high climate impact sectors","","","","ESRS E1","conditional","monetary","e1-5","e1","v","ar 38 b",""
"__export__.document_csrd_296_fc00351e","e1-6_01","gross scopes 1, 2, 3 and total ghg emissions - ghg emissions per scope [table]","","","","ESRS E1","","table","e1-6","e1","","44","ar 39"
"__export__.document_csrd_297_589f873e","e1-6_02","gross scopes 1, 2, 3 and total ghg emissions - financial and operational control [table]","","","","ESRS E1","","table","e1-6","e1","","50",""
"__export__.document_csrd_298_f41e9ccf","e1-6_03","disaggregation of ghg emissions - by country, operating segments, economic activity, subsidiary, ghg category or source type","","","","ESRS E1","","table","e1-6","e1","","ar 41",""
"__export__.document_csrd_299_a37c141b","e1-6_04","gross scopes 1, 2, 3 and total ghg emissions - scope 3 ghg emissions (ghg protocol) [table]","","1 year","","ESRS E1","alternative","table","e1-6","e1","","ar 46 d",""
"__export__.document_csrd_300_2184fa60","e1-6_05","gross scopes 1, 2, 3 and total ghg emissions - scope 3 ghg emissions (iso 14064-1) [table]","","1 year","","ESRS E1","alternative","table","e1-6","e1","","ar 50",""
"__export__.document_csrd_301_364c0551","e1-6_06","gross scopes 1, 2, 3 and total ghg emissions - total ghg emissions - value chain [table]","","1 year","","ESRS E1","","table","e1-6","e1","","ar 52",""
"__export__.document_csrd_302_c4fa30e8","e1-6_07","gross scope 1 greenhouse gas emissions","sfdr+pillar 3+ benchmark","","","ESRS E1","","table/ghgemissions","e1-6","e1","","48 a","ar 43"
"__export__.document_csrd_303_a8057b0d","e1-6_08","percent of scope 1 ghg emissions from regulated emission trading schemes","sfdr+pillar 3+ benchmark","","","ESRS E1","","table/percent","e1-6","e1","","48 b","ar 44"
"__export__.document_csrd_304_afacbc33","e1-6_09","gross location-based scope 2 greenhouse gas emissions","sfdr+pillar 3+ benchmark","","","ESRS E1","","table/ghgemissions","e1-6","e1","","49 a, 52 a","ar 45, ar 47"
"__export__.document_csrd_305_63d9c024","e1-6_10","gross market-based scope 2 greenhouse gas emissions","sfdr+pillar 3+ benchmark","","","ESRS E1","","table/ghgemissions","e1-6","e1","","49 b, 52 b","ar 45, ar 47"
"__export__.document_csrd_306_3d81f1d0","e1-6_11","gross scope 3 greenhouse gas emissions","sfdr+pillar 3+ benchmark","1 year","","ESRS E1","","table/ghgemissions","e1-6","e1","","51","ar 46"
"__export__.document_csrd_307_f9379106","e1-6_12","total ghg emissions location based","sfdr+pillar 3+ benchmark","1 year","","ESRS E1","","table/ghgemissions","e1-6","e1","","44, 52 a","ar 47"
"__export__.document_csrd_308_ba7d2145","e1-6_13","total ghg emissions market based","sfdr+pillar 3+ benchmark","1 year","","ESRS E1","","table/ghgemissions","e1-6","e1","","44, 52 b","ar 47"
"__export__.document_csrd_309_f007987e","e1-6_14","disclosure of significant changes in definition of what constitutes reporting undertaking and its value chain and explanation of their effect on year-to-year comparability of reported ghg emissions","","","","ESRS E1","conditional","narrative","e1-6","e1","","47",""
"__export__.document_csrd_310_052049c7","e1-6_15","disclosure of methodologies, significant assumptions and emissions factors used to calculate or measure ghg emissions","","","","ESRS E1","","narrative","e1-6","e1","","ar 39 b",""
"__export__.document_csrd_311_c826f183","e1-6_16","disclosure of the effects of significant events and changes in circumstances (relevant to its ghg emissions) that occur between the reporting dates of the entities in its value chain and the date of the undertaking’s general purpose financial statements","","","","ESRS E1","conditional","narrative","e1-6","e1","","ar 42 c",""
"__export__.document_csrd_312_1879b19e","e1-6_17","biogenic emissions of co2 from the combustion or bio-degradation of biomassnot included in scope 1 ghg emissions","","","","ESRS E1","","ghgemissions","e1-6","e1","","ar 43 c",""
"__export__.document_csrd_313_3fb1e606","e1-6_18","percent of contractual instruments, scope 2 ghg emissions","","","","ESRS E1","","percent","e1-6","e1","","ar 45 d",""
"__export__.document_csrd_314_d48d9ac6","e1-6_19","disclosure of types of contractual instruments, scope 2 ghg emissions","","","","ESRS E1","","percent","e1-6","e1","","ar 45 d",""
"__export__.document_csrd_315_a1a40c7f","e1-6_20","percent of market-based scope 2 ghg emissions linked to purchased electricity bundled with instruments","","","","ESRS E1","","percent","e1-6","e1","v","ar 45 d",""
"__export__.document_csrd_316_a7d5bca6","e1-6_21","percent of contractual instruments used for sale and purchase of energy bundled with attributes about energy generation in relation to scope 2 ghg emissions","","","","ESRS E1","","percent","e1-6","e1","","ar 45 d",""
"__export__.document_csrd_317_a882b34f","e1-6_22","percent of contractual instruments used for sale and purchase of unbundled energy attribute claims in relation to scope 2 ghg emissions","","","","ESRS E1","","percent","e1-6","e1","","ar 45 d",""
"__export__.document_csrd_318_6bbc45c5","e1-6_23","disclosure of types of contractual instruments used for sale and purchase of energy bundled with attributes about energy generation or for unbundled energy attribute claims","","","","ESRS E1","","narrative","e1-6","e1","","ar 45 d",""
"__export__.document_csrd_319_c150e8d3","e1-6_24","biogenic emissions of co2 from combustion or bio-degradation of biomass not included in scope 2 ghg emissions","","","","ESRS E1","","ghgemissions","e1-6","e1","","ar 45 e",""
"__export__.document_csrd_320_61393067","e1-6_25","percent of ghg scope 3 calculated using primary data","","1 year","","ESRS E1","","percent","e1-6","e1","","ar 46 g",""
"__export__.document_csrd_321_801422b1","e1-6_26","disclosure of why scope 3 ghg emissions category has been excluded","","1 year","","ESRS E1","","narrative","e1-6","e1","","ar 46 i",""
"__export__.document_csrd_322_67570a35","e1-6_27","list of scope 3 ghg emissions categories included in inventory","","1 year","","ESRS E1","","semi-narrative","e1-6","e1","","ar 46 i",""
"__export__.document_csrd_323_af76d012","e1-6_28","biogenic emissions of co2 from combustion or bio-degradation of biomass that occur in value chain not included in scope 3 ghg emissions","","1 year","","ESRS E1","","ghgemissions","e1-6","e1","","ar 46 j",""
"__export__.document_csrd_324_25ef5586","e1-6_29","disclosure of reporting boundaries considered and calculation methods for estimating scope 3 ghg emissions","","1 year","","ESRS E1","","narrative","e1-6","e1","","ar 46 h",""
"__export__.document_csrd_325_846fe45f","e1-6_30","ghg emissions intensity, location-based (total ghg emissions per net revenue)","sfdr+pillar 3+ benchmark","1 year","","ESRS E1","","intensity","e1-6","e1","","53","ar 53"
"__export__.document_csrd_326_a7e08473","e1-6_31","ghg emissions intensity, market-based (total ghg emissions per net revenue)","sfdr+pillar 3+ benchmark","1 year","","ESRS E1","","intensity","e1-6","e1","","53","ar 53"
"__export__.document_csrd_327_e4b777bb","e1-6_32","disclosure of reconciliation to financial statements of net revenue used for calculation of ghg emissions intensity","sfdr+pillar 3+ benchmark","1 year","","ESRS E1","","narrative","e1-6","e1","","55",""
"__export__.document_csrd_328_7547c0a2","e1-6_33","net revenue","","","","ESRS E1","conditional","monetary","e1-6","e1","","ar 55",""
"__export__.document_csrd_329_69320f61","e1-6_34","net revenue used to calculate ghg intensity","","","","ESRS E1","conditional","monetary","e1-6","e1","","ar 55",""
"__export__.document_csrd_330_3bdf6765","e1-6_35","net revenue other than used to calculate ghg intensity","","","","ESRS E1","conditional","monetary","e1-6","e1","","ar 55",""
"__export__.document_csrd_331_81d14c0b","e1-7_01","disclosure of ghg removals and storage resulting from projects developed in own operations or contributed to in upstream and downstream value chain","cl","","","ESRS E1","","narrative","e1-7","e1","","56 a","ar 56 - ar 57"
"__export__.document_csrd_332_ad65d09d","e1-7_02","disclosure of ghg emission reductions or removals from climate change mitigation projects outside value chain financed or to be financed through any purchase of carbon credits","cl","","","ESRS E1","","narrative","e1-7","e1","","56b","ar 56"
"__export__.document_csrd_333_3128fc2a","e1-7_03","removals and carbon credits are used","","","","ESRS E1","conditional","semi-narrative","e1-7","e1","","58","ar 56"
"__export__.document_csrd_334_0b526901","e1-7_04","ghg removals and storage activity by undertaking scope (breakdown by own operations and value chain) and by removal and storage activity","","","","ESRS E1","conditional","table","e1-7","e1","","58a","ar 59"
"__export__.document_csrd_335_1891a1dc","e1-7_05","total ghg removals and storage","","","","ESRS E1","conditional","table/ghgemissions","e1-7","e1","","58a",""
"__export__.document_csrd_336_54313af8","e1-7_06","ghg emissions associated with removal activity","","","","ESRS E1","conditional","table/ghgemissions","e1-7","e1","","ar 58 f",""
"__export__.document_csrd_337_348c8426","e1-7_07","reversals","","","","ESRS E1","conditional","ghgemissions","e1-7","e1","","ar 60",""
"__export__.document_csrd_338_79ca897e","e1-7_08","disclosure of calculation assumptions, methodologies and frameworks applied (ghg removals and storage)","","","","ESRS E1","conditional","narrative","e1-7","e1","","58b",""
"__export__.document_csrd_339_c50ba9ca","e1-7_09","removal activity has been converted into carbon credits and sold on to other parties on voluntary market","","","","ESRS E1","conditional","semi-narrative","e1-7","e1","","ar 58e",""
"__export__.document_csrd_340_835405aa","e1-7_10","total amount of carbon credits outside value chain that are verified against recognised quality standards and cancelled","","","","ESRS E1","conditional","ghgemissions","e1-7","e1","","59a",""
"__export__.document_csrd_341_8546fe8e","e1-7_11","total amount of carbon credits outside value chain planned to be cancelled in future","","","","ESRS E1","conditional","ghgemissions","e1-7","e1","","59b",""
"__export__.document_csrd_342_1ac04c7c","e1-7_12","disclosure of extent of use and quality criteria used for carbon credits","","","","ESRS E1","","narrative","e1-7","e1","","ar 61",""
"__export__.document_csrd_343_5daa7827","e1-7_13","percent of reduction projects","","","","ESRS E1","","percent","e1-7","e1","","ar 62 a",""
"__export__.document_csrd_344_a060d438","e1-7_14","percent of removal projects","","","","ESRS E1","","percent","e1-7","e1","","ar 62 a",""
"__export__.document_csrd_345_72abe3dd","e1-7_15","type of carbon credits from removal projects","","","","ESRS E1","","semi-narrative","e1-7","e1","","ar 62b",""
"__export__.document_csrd_346_e2e3ad82","e1-7_16","percent for recognised quality standard","","","","ESRS E1","","percent","e1-7","e1","","ar 62 c",""
"__export__.document_csrd_347_b32e4322","e1-7_17","percent issued from projects in european union","","","","ESRS E1","","percent","e1-7","e1","","ar 62d",""
"__export__.document_csrd_348_c771f5f1","e1-7_18","percent that qualifies as corresponding adjustment","","","","ESRS E1","","percent","e1-7","e1","","ar 62 e",""
"__export__.document_csrd_349_fb93cae3","e1-7_19","date when carbon credits outside value chain are planned to be cancelled","","","","ESRS E1","","gyear","e1-7","e1","","ar 64",""
"__export__.document_csrd_350_3bf1e341","e1-7_20","explanation of scope, methodologies and frameworks applied and how residual ghg emissions are intended to be neutralised","","","","ESRS E1","conditional","narrative","e1-7","e1","","60",""
"__export__.document_csrd_351_bcdf8ba3","e1-7_21","public claims of ghg neutrality that involve use of carbon credits have been made","","","","ESRS E1","","semi-narrative","e1-7","e1","","61",""
"__export__.document_csrd_352_9e7a8b79","e1-7_22","public claims of ghg neutrality that involve use of carbon credits are accompanied by ghg emission reduction targets","","","","ESRS E1","conditional","semi-narrative","e1-7","e1","","61 a",""
"__export__.document_csrd_353_ce8f725b","e1-7_23","claims of ghg neutrality and reliance on carbon credits neither impede nor reduce achievement of ghg emission reduction targets or net zero target","","","","ESRS E1","conditional","semi-narrative","e1-7","e1","","61 b",""
"__export__.document_csrd_354_3a241e1a","e1-7_24","explanation of whether and how public claims of ghg neutrality that involve use of carbon credits are accompanied by ghg emission reduction targets and how claims of ghg neutrality and reliance on carbon credits neither impede nor reduce achievement of ghg emission reduction targets or net zero target","","","","ESRS E1","conditional","narrative","e1-7","e1","","61 a, b",""
"__export__.document_csrd_355_72f55a33","e1-7_25","explanation of credibility and integrity of carbon credits used","","","","ESRS E1","conditional","narrative","e1-7","e1","","61c",""
"__export__.document_csrd_356_bdadb878","e1-8_01","carbon pricing scheme by type","","","","ESRS E1","","table","e1-8","e1","","63 a",""
"__export__.document_csrd_357_7630bacb","e1-8_02","type of internal carbon pricing scheme","","","","ESRS E1","","table/narrative","e1-8","e1","","63 a",""
"__export__.document_csrd_358_f8f9372c","e1-8_03","description of specific scope of application of carbon pricing scheme","","","","ESRS E1","","table/narrative","e1-8","e1","","63 b",""
"__export__.document_csrd_359_bd2051d3","e1-8_04","carbon price applied for each metric tonne of greenhouse gas emission","","","","ESRS E1","","table/monetary","e1-8","e1","","63 c",""
"__export__.document_csrd_360_b2c85ad2","e1-8_05","description of critical assumptions made to determine carbon price applied","","","","ESRS E1","","table/narrative","e1-8","e1","","63 c",""
"__export__.document_csrd_361_4f80988b","e1-8_06","percent of gross scope 1 greenhouse gas emissions covered by internal carbon pricing scheme","","","","ESRS E1","","table/percent","e1-8","e1","","63 d",""
"__export__.document_csrd_362_4c55dfdd","e1-8_07","percent of gross scope 2 greenhouse gas emissions covered by internal carbon pricing scheme","","","","ESRS E1","","table/percent","e1-8","e1","","63 d",""
"__export__.document_csrd_363_d1a8c322","e1-8_08","percent of gross scope 3 greenhouse gas emissions covered by internal carbon pricing scheme","","","","ESRS E1","conditional","table/percent","e1-8","e1","","63 d",""
"__export__.document_csrd_364_40b075de","e1-8_09","disclosure of whether and how carbon price used in internal carbon pricing scheme is consistent with carbon price used in financial statements","","","","ESRS E1","conditional","table/narrative","e1-8","e1","","ar 65",""
"__export__.document_csrd_365_3e2abc6a","e1-9_01","assets at material physical risk before considering climate change adaptation actions","pillar 3","","3 years","ESRS E1","","monetary","e1-9","e1","","66 a","ar 70"
"__export__.document_csrd_366_f2d5deab","e1-9_02","assets at acute material physical risk before considering climate change adaptation actions","pillar 3","","3 years","ESRS E1","","monetary","e1-9","e1","","66 a","ar 70"
"__export__.document_csrd_367_41a0e1c1","e1-9_03","assets at chronic material physical risk before considering climate change adaptation actions","pillar 3","","3 years","ESRS E1","","monetary","e1-9","e1","","66 a","ar 70"
"__export__.document_csrd_368_f195fe73","e1-9_04","percent of assets at material physical risk before considering climate change adaptation actions","pillar 3","","3 years","ESRS E1","","percent","e1-9","e1","","66 a","ar 70"
"__export__.document_csrd_369_15450704","e1-9_05","disclosure of location of significant assets at material physical risk","pillar 3","","1 year","ESRS E1","","narrative","e1-9","e1","","66 c","ar 70"
"__export__.document_csrd_370_3f1bf59c","e1-9_06","disclosure of location of its significant assets at material physical risk (disaggregated by nuts codes)","pillar 3","","1 year","ESRS E1","","table/narrative","e1-9","e1","","ar 70 c i",""
"__export__.document_csrd_371_0c2084a9","e1-9_07","percent of assets at material physical risk addressed by climate change adaptation actions","","","3 years","ESRS E1","","percent","e1-9","e1","","66 b",""
"__export__.document_csrd_372_725389ab","e1-9_08","net revenue from business activities at material physical risk","","","3 years","ESRS E1","","monetary","e1-9","e1","","66 d","ar 71"
"__export__.document_csrd_373_711bcf33","e1-9_09","percent of net revenue from business activities at material physical risk","","","3 years","ESRS E1","","percent","e1-9","e1","","66 d","ar 71"
"__export__.document_csrd_374_7478ae65","e1-9_10","disclosure of whether and how anticipated financial effects for assets and business activities at material physical risk have been assessed","","","1 year","ESRS E1","","narrative","e1-9","e1","","ar 69 a",""
"__export__.document_csrd_375_90d22679","e1-9_11","disclosure of whether and how assessment of assets and business activities considered to be at material physical risk relies on or is part of process to determine material physical risk and to determine climate scenarios","","","1 year","ESRS E1","","narrative","e1-9","e1","","ar 69 b",""
"__export__.document_csrd_376_96ec27ad","e1-9_12","disclosure of risk factors for net revenue from business activities at material physical risk","","","1 year","ESRS E1","","narrative","e1-9","e1","v","ar 71 b",""
"__export__.document_csrd_377_3a160806","e1-9_13","disclosure of magnitude of anticipated financial effects in terms of margin erosion for business activities at material physical risk","","","1 year","ESRS E1","conditional","narrative","e1-9","e1","v","ar 71 b",""
"__export__.document_csrd_378_877e2b6b","e1-9_14","assets at material transition risk before considering climate mitigation actions","","","3 years","ESRS E1","","monetary","e1-9","e1","","67 a",""
"__export__.document_csrd_379_60691d01","e1-9_15","percent of assets at material transition risk before considering climate mitigation actions","","","3 years","ESRS E1","","percent","e1-9","e1","","67 a",""
"__export__.document_csrd_380_d57a5447","e1-9_16","percent of assets at material transition risk addressed by climate change mitigation actions","","","3 years","ESRS E1","","percent","e1-9","e1","","67 b",""
"__export__.document_csrd_381_436a8ea5","e1-9_17","total carrying amount of real estate assets by energy efficiency classes","pillar 3","","3 years","ESRS E1","","table/monetary","e1-9","e1","","67 c",""
"__export__.document_csrd_382_8499bc3b","e1-9_18","disclosure of whether and how potential effects on future financial performance and position for assets and business activities at material transition risk have been assessed","","","1 year","ESRS E1","","narrative","e1-9","e1","","ar 72 a, ar 73 a",""
"__export__.document_csrd_383_6179edde","e1-9_19","disclosure of whether and how assessment of assets and business activities considered to be at material transition risk relies on or is part of process to determine material transition risks and to determine scenarios","","","1 year","ESRS E1","","narrative","e1-9","e1","","ar 72 b",""
"__export__.document_csrd_384_99f287ad","e1-9_20","estimated amount of potentially stranded assets","","","3 years","ESRS E1","","monetary","e1-9","e1","","ar 73 a",""
"__export__.document_csrd_385_41dc75e6","e1-9_21","percent of estimated share of potentially stranded assets of total assets at material transition risk","","","3 years","ESRS E1","","percent","e1-9","e1","","ar 73 a",""
"__export__.document_csrd_386_9237a309","e1-9_22","total carrying amount of real estate assets for which energy consumption is based on internal estimates","","","3 years","ESRS E1","","monetary","e1-9","e1","","ar 73 b",""
"__export__.document_csrd_387_456997a4","e1-9_23","liabilities from material transition risks that may have to be recognised in financial statements","","","3 years","ESRS E1","","monetary","e1-9","e1","","67 d",""
"__export__.document_csrd_388_9aae834b","e1-9_24","number of scope 1 ghg emission allowances within regulated emission trading schemes","","","3 years","ESRS E1","","integer","e1-9","e1","v","ar 74 c",""
"__export__.document_csrd_389_d5bd9d01","e1-9_25","number of emission allowances stored (from previous allowances) at beginning of reporting period","","","3 years","ESRS E1","","integer","e1-9","e1","v","ar 74 c",""
"__export__.document_csrd_390_310b3dcf","e1-9_26","potential future liabilities, based on existing contractual agreements, associated with carbon credits planned to be cancelled in near future","","","3 years","ESRS E1","","monetary","e1-9","e1","v","ar 74 d",""
"__export__.document_csrd_391_40f13a98","e1-9_27","monetised gross scope 1 and 2 ghg emissions","","","3 years","ESRS E1","","monetary","e1-9","e1","v","ar 74 e",""
"__export__.document_csrd_392_94b6ba0d","e1-9_28","monetised total ghg emissions","","","3 years","ESRS E1","","monetary","e1-9","e1","v","ar 74 e",""
"__export__.document_csrd_393_fdb092ed","e1-9_29","net revenue from business activities at material transition risk","","","3 years","ESRS E1","","monetary","e1-9","e1","","67 e",""
"__export__.document_csrd_394_bd519551","e1-9_30","net revenue from customers operating in coal-related activities","","","3 years","ESRS E1","conditional","monetary","e1-9","e1","","67 e",""
"__export__.document_csrd_395_c7f0e92c","e1-9_31","net revenue from customers operating in oil-related activities","","","3 years","ESRS E1","conditional","monetary","e1-9","e1","","67 e",""
"__export__.document_csrd_396_71f8d572","e1-9_32","net revenue from customers operating in gas-related activities","","","3 years","ESRS E1","conditional","monetary","e1-9","e1","","67 e",""
"__export__.document_csrd_397_b89308e3","e1-9_33","percent of net revenue from customers operating in coal-related activities","","","3 years","ESRS E1","conditional","percent","e1-9","e1","","67 e",""
"__export__.document_csrd_398_3640cf1e","e1-9_34","percent of net revenue from customers operating in oil-related activities","","","3 years","ESRS E1","conditional","percent","e1-9","e1","","67 e",""
"__export__.document_csrd_399_1c3a45ed","e1-9_35","percent of net revenue from customers operating in gas-related activities","","","3 years","ESRS E1","conditional","percent","e1-9","e1","","67 e",""
"__export__.document_csrd_400_ab7b02a6","e1-9_36","percent of net revenue from business activities at material transition risk","","","3 years","ESRS E1","","table/percent","e1-9","e1","v","ar 76",""
"__export__.document_csrd_401_b5811882","e1-9_37","disclosure of risk factors for net revenue from business activities at material transition risk","","","1 year","ESRS E1","","narrative","e1-9","e1","v","ar 76 b",""
"__export__.document_csrd_402_bc70e478","e1-9_38","disclosure of anticipated financial effects in terms of margin erosion for business activities at material transition risk","","","1 year","ESRS E1","","narrative/monetary","e1-9","e1","v","ar 76 b",""
"__export__.document_csrd_403_bc63f9f8","e1-9_39","disclosure of reconciliations with financial statements of significant amounts of assets and net revenue at material physical risk","","","1 year","ESRS E1","","narrative","e1-9","e1","","68 a",""
"__export__.document_csrd_404_cdce1472","e1-9_40","disclosure of reconciliations with financial statements of significant amounts of assets, liabilities and net revenue at material transition risk","","","1 year","ESRS E1","","narrative","e1-9","e1","","68 b",""
"__export__.document_csrd_405_05959cc8","e1-9_41","expected cost savings from climate change mitigation actions","benchmark","","3 years","ESRS E1","","monetary","e1-9","e1","","69 a","ar 80"
"__export__.document_csrd_406_c9e410d9","e1-9_42","expected cost savings from climate change adaptation actions","benchmark","","3 years","ESRS E1","","monetary","e1-9","e1","","69 a","ar 80"
"__export__.document_csrd_407_bba4328d","e1-9_43","potential market size of low-carbon products and services or adaptation solutions to which undertaking has or may have access","benchmark","","3 years","ESRS E1","","monetary","e1-9","e1","","69 b","ar 81"
"__export__.document_csrd_408_9af86770","e1-9_44","expected changes to net revenue from low-carbon products and services or adaptation solutions to which undertaking has or may have access","benchmark","","3 years","ESRS E1","","monetary","e1-9","e1","","69 b","ar 81"
